iter	TotalF1	MultiClass
0	0.9591031318	1.025237508
1	0.9590044594	0.9553277692
2	0.9656963411	0.8962960169
3	0.9678983166	0.8386937694
4	0.9689881693	0.786607845
5	0.9689881693	0.7440820265
6	0.9667787606	0.7057455524
7	0.9645616504	0.668387203
8	0.9645616504	0.6330219245
9	0.9678935878	0.6017664633
10	0.9678935878	0.5704397598
11	0.9690015259	0.5430001363
12	0.9701090774	0.5174289248
13	0.9700777758	0.4930347572
14	0.9711869913	0.4714314691
15	0.9711869913	0.4503043744
16	0.9700777758	0.4303291979
17	0.9700777758	0.4131984437
18	0.9700777758	0.3965128306
19	0.9711869913	0.3796734375
20	0.9722958469	0.3661111934
21	0.9733752397	0.3526653069
22	0.9733752397	0.339967453
23	0.9744854423	0.3280772156
24	0.9744854423	0.3164416122
25	0.9744854423	0.306798881
26	0.9744854423	0.2950012385
27	0.9744854423	0.285891209
28	0.9744854423	0.2761215985
29	0.9744854423	0.2677088879
30	0.9744854423	0.2596124208
31	0.9733752397	0.2514537581
32	0.9733752397	0.2438910979
33	0.9733752397	0.2370376331
34	0.9744854423	0.2297070024
35	0.9733752397	0.2225165731
36	0.9744854423	0.2166921277
37	0.9744854423	0.2112151854
38	0.9744854423	0.205080277
39	0.9744854423	0.1987998271
40	0.9744854423	0.1933790475
41	0.9744854423	0.1882270818
42	0.9744854423	0.1846720591
43	0.9744854423	0.1799868811
44	0.9744854423	0.1757391456
45	0.9744854423	0.1713857025
46	0.9744854423	0.1672429756
47	0.9744854423	0.1639420566
48	0.9744854423	0.16056529
49	0.9744854423	0.157465753
50	0.9744854423	0.1539203246
51	0.9744854423	0.1510352205
52	0.9744854423	0.1479688279
53	0.9744854423	0.1450760878
54	0.9744854423	0.1425933744
55	0.9744854423	0.1397067998
56	0.9744854423	0.1373010918
57	0.9744854423	0.1344888554
58	0.9744854423	0.1320494658
59	0.9744854423	0.1300571916
60	0.9755953303	0.1281173056
61	0.9755953303	0.1262042543
62	0.9755953303	0.1242230538
63	0.9755953303	0.1222569503
64	0.9755953303	0.120682228
65	0.9755953303	0.119071961
66	0.976677949	0.1179928949
67	0.976677949	0.1164356244
68	0.9755953303	0.1152890213
69	0.976677949	0.1137085231
70	0.976677949	0.1124960871
71	0.976677949	0.1109854802
72	0.976677949	0.1096806552
73	0.976677949	0.1083456804
74	0.9777892544	0.1067257849
75	0.9777892544	0.1053737939
76	0.9800110766	0.1040300221
77	0.9811216306	0.1030117251
78	0.9800110766	0.1019961275
79	0.9811216306	0.1009697797
80	0.9811216306	0.09988799416
81	0.9811216306	0.09883762016
82	0.9811216306	0.09787565509
83	0.9811216306	0.09689944818
84	0.9811216306	0.09609700417
85	0.9811216306	0.0951826502
86	0.9811216306	0.09377913369
87	0.9811216306	0.09320676122
88	0.9811216306	0.09260173008
89	0.9811216306	0.09170860924
90	0.9811216306	0.09123199926
91	0.9811216306	0.09015496532
92	0.9811216306	0.08926646619
93	0.9811216306	0.08843468762
94	0.9811216306	0.08763439436
95	0.9811216306	0.08723832724
96	0.9811216306	0.08687998856
97	0.9811216306	0.0861394429
98	0.9811216306	0.0858365597
99	0.9811216306	0.08546560503
100	0.9811216306	0.08481585685
101	0.9811216306	0.08417687668
102	0.9811216306	0.08377396146
103	0.9811216306	0.08343986894
104	0.9811216306	0.0827937667
105	0.9811216306	0.0825395181
106	0.9811216306	0.08223323858
107	0.9811216306	0.0817616783
108	0.9811216306	0.08104643261
109	0.9811216306	0.08025008081
110	0.9811216306	0.08000136052
111	0.9811216306	0.07948948125
112	0.9811216306	0.07874604215
113	0.9811216306	0.07836169383
114	0.9811216306	0.07776157147
115	0.9811216306	0.07712995388
116	0.9811216306	0.07641080021
117	0.9811216306	0.07631666607
118	0.9811216306	0.07582372932
119	0.9811216306	0.07552642501
120	0.9811216306	0.07528546784
121	0.9811216306	0.07496765203
122	0.9811216306	0.07466589231
123	0.9811216306	0.07407831983
124	0.9811216306	0.07355046751
125	0.9811216306	0.07320184284
126	0.9811216306	0.07293457526
127	0.9811216306	0.07254097429
128	0.9811216306	0.07230427778
129	0.9811216306	0.07181782898
130	0.9811216306	0.07122564182
131	0.9811216306	0.071110103
132	0.9811216306	0.07090902413
133	0.9811216306	0.07059935294
134	0.9811216306	0.07040575689
135	0.9811216306	0.06994910828
136	0.9811216306	0.06947601235
137	0.9811216306	0.06931938017
138	0.9811216306	0.06899432344
139	0.9811216306	0.06855349768
140	0.9811216306	0.06810752156
141	0.9811216306	0.06757286258
142	0.9811216306	0.06709904756
143	0.9811216306	0.06664664658
144	0.9811216306	0.06639138366
145	0.9822319714	0.06625459501
146	0.9811216306	0.06570894057
147	0.9811216306	0.06547450443
148	0.9811216306	0.0652744895
149	0.9811216306	0.06496213285
